feature,mean_abs_shap,shap_rank,pi_mean,pi_rank,avg_rank
ay_high_ratio,0.04015770068107727,33.0,-45.0,95.0,64.0
cn_center_mass,0.025111583635477372,58.0,45.0,71.0,64.5
cp_000,0.015888560188596287,79.0,138.0,50.0,64.5
da_000,0.015969403004010067,78.0,119.0,52.0,65.0
Module_8_Connectivity,0.00844556554350908,97.0,276.0,33.0,65.0
ba_entropy,0.028315430071665103,55.0,5.0,78.0,66.5
ca_000,0.021928520593355292,65.0,48.0,69.0,67.0
ap_000,0.019535833730836418,70.0,53.0,66.0,68.0
bx_000,0.043165780309459376,30.0,-243.0,107.0,68.5
ah_000,0.0035620971714498437,111.0,334.0,26.0,68.5
ag_kurt,0.014880590517289119,83.0,103.0,55.0,69.0
eb_000,0.017089330549232583,74.0,52.0,67.0,70.5
dq_000,0.007197566991264542,106.0,257.0,36.0,71.0
cn_low_ratio,0.016181436563041596,77.0,22.0,75.0,76.0
cx_000,0.03087373297398308,50.0,-184.0,104.0,77.0
ba_skew,0.009193298862274801,94.0,82.0,60.0,77.0
al_000,0.023626551356340238,60.0,-72.0,98.0,79.0
bd_000,0.02291417185710115,61.0,-66.0,97.0,79.0
bz_000,0.011008259256549477,90.0,49.0,68.0,79.0
ch_000,0.014702768379478181,84.0,22.0,75.0,79.5
az_entropy,0.025894129695256073,56.0,-176.0,103.0,79.5
bf_000,0.00843317212828716,98.0,73.0,63.0,80.5
co_000,0.016397765498168706,76.0,-12.0,88.0,82.0
az_center_mass,0.015805596266960185,80.0,-6.0,85.0,82.5
ds_000,0.01054783347757875,91.0,25.0,74.0,82.5
ce_000,0.012045098139766681,88.0,14.0,77.0,82.5
av_000,0.01577067953033874,81.0,-7.0,86.0,83.5
dh_000,0.008964714351367592,96.0,27.0,73.0,84.5
bh_000,0.007365371034150642,104.0,52.0,67.0,85.5
dg_000,0.00691531854324596,107.0,68.0,64.0,85.5
dp_000,0.007385443680678158,103.0,46.0,70.0,86.5
az_kurt,0.017477663599181462,72.0,-131.0,101.0,86.5
bg_000,0.0014679455131186554,121.0,104.0,54.0,87.5
dc_000,0.002704357109415502,117.0,86.0,58.0,87.5
aj_000,0.01276207324739479,86.0,-39.0,94.0,90.0
ad_000,0.00811442391192786,100.0,1.0,82.0,91.0
ar_000,0.0015513726118516974,119.0,63.0,65.0,92.0
ee_low_ratio,0.01356192267432278,85.0,-77.0,99.0,92.0
bu_000,0.009998476170050173,92.0,-33.0,93.0,92.5
bm_000,0.008239181876465483,99.0,-10.0,87.0,93.0
by_000,0.005319103314002248,109.0,2.0,81.0,95.0
ba_center_mass,0.003058723736335769,115.0,22.0,75.0,95.0
be_000,0.00762911185926563,101.0,-27.0,91.0,96.0
az_high_ratio,0.004038852203431786,110.0,-5.0,84.0,97.0
dr_000,0.001194819775537088,123.0,39.0,72.0,97.5
ay_low_ratio,0.009002878434743289,95.0,-79.0,100.0,97.5
Module_5_Connectivity,0.002815085071041444,116.0,4.0,79.0,97.5
dt_000,0.006607177980363679,108.0,-13.0,89.0,98.5
df_000,0.0008991539526861205,124.0,14.0,77.0,100.5
Module_4_Connectivity,0.0014315185921561927,122.0,3.0,80.0,101.0
at_000,0.009583737745266836,93.0,-467.0,110.0,101.5
dd_000,0.002156532435246578,118.0,-7.0,86.0,102.0
di_000,0.001508512041597019,120.0,-6.0,85.0,102.5
Module_10_Connectivity,0.0032202120232647773,113.0,-32.0,92.0,102.5
Module_11_Connectivity,0.0003427644328683026,126.0,2.0,81.0,103.5
cv_000,0.007538170090744305,102.0,-240.0,106.0,104.0
dz_000,0.00011428147173061192,128.0,0.0,83.0,105.5
dj_000,7.269466867613059e-05,129.0,0.0,83.0,106.0
dk_000,3.736349536621408e-05,130.0,0.0,83.0,106.5
do_000,0.0031434810988252193,114.0,-77.0,99.0,106.5
ef_000,0.0,131.0,0.0,83.0,107.0
ea_000,0.0,131.0,0.0,83.0,107.0
bv_000,0.0,131.0,0.0,83.0,107.0
ae_000,0.0,131.0,0.0,83.0,107.0
dl_000,0.0,131.0,0.0,83.0,107.0
Module_9_Connectivity,0.0,131.0,0.0,83.0,107.0
Module_7_Connectivity,0.0,131.0,0.0,83.0,107.0
cq_000,0.0,131.0,0.0,83.0,107.0
as_000,0.0,131.0,0.0,83.0,107.0
af_000,0.000151222840317167,127.0,-10.0,87.0,107.0
dm_000,0.0,131.0,0.0,83.0,107.0
Module_3_Connectivity,0.0,131.0,0.0,83.0,107.0
Module_2_Connectivity,0.0,131.0,0.0,83.0,107.0
Module_1_Connectivity,0.0,131.0,0.0,83.0,107.0
Module_13_Connectivity,0.0,131.0,0.0,83.0,107.0
Module_12_Connectivity,0.0,131.0,0.0,83.0,107.0
Module_6_Connectivity,0.0,131.0,0.0,83.0,107.0
au_000,0.0,131.0,0.0,83.0,107.0
eg_000,0.0,131.0,0.0,83.0,107.0
ak_000,0.0007196015276143779,125.0,-20.0,90.0,107.5
du_000,0.0033251598817116666,112.0,-474.0,111.0,111.5
